,2018,2019,2020,2021
1,1,2,3,5
2,0,0,0,2
3,4,1,0,3
4,4,2,0,0
5,0,3,0,1
6,1,2,0,0
7,0,2,1,0
8,5,0,2,0
9,7,3,3,0
10,6,8,0,2
11,0,0,0,1
12,0,0,0,0
